,590,593,579,588,589,591,576,587,569,558,592,572,594,542,570,562,575,573,552,555,Function
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F1
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F2
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F3
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F4
0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F5
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F6
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F7
0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F14
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F14
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F14
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F14
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F14
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F14
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F14
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F14
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F14
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F14
0,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,F15
1,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,F15
2,False,False,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,F15
3,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,F15
4,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,F15
5,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,F15
6,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,F15
7,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,F15
8,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,F15
9,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,F15
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F16
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F16
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F16
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F16
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F16
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F16
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F16
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F16
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F16
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F16
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F17
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F17
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F17
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F17
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F17
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F17
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F17
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F17
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F17
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F17
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F18
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F18
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F18
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F18
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F18
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F18
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F18
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F18
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F18
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F18
0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F19
1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F19
2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F19
3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F19
4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F19
5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F19
6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F19
7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F19
8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F19
9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F19
0,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,F20
1,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,F20
2,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,True,True,True,F20
3,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,F20
4,False,False,False,True,True,False,False,True,True,True,True,False,False,False,True,True,True,False,True,True,F20
5,True,True,False,True,True,True,False,False,True,False,True,False,True,False,False,False,True,True,False,True,F20
6,False,True,False,False,False,True,False,False,False,True,True,True,True,True,False,False,True,False,True,False,F20
7,True,True,False,True,True,True,False,False,True,False,True,False,True,False,True,True,False,True,True,False,F20
8,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,F20
9,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,F20
0,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,False,False,True,False,False,F21
1,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,F21
2,True,False,True,True,False,False,True,True,False,True,False,True,True,True,False,True,False,True,True,True,F21
3,True,False,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,False,False,F21
4,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,False,True,F21
5,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,False,True,F21
6,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,True,True,F21
7,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,False,F21
8,False,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,F21
9,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False,True,False,True,F21
0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,F22
1,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,F22
2,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,False,True,False,True,True,F22
3,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,False,F22
4,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,F22
5,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,F22
6,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,F22
7,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,F22
8,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,False,True,False,F22
9,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,F22
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,F23
1,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,F23
2,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,F23
3,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,F23
4,False,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,F23
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,F23
6,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,F23
7,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,F23
8,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,F23
9,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,F23
